Character|Sentence
 Reinhard van Astrea | The loot house? 
 Subaru Natsuki | N-Never mind... Forget it. 
 Subaru Natsuki | I can't trouble you with that... 
 Subaru Natsuki | I'll handle the rest on my own, somehow. 
 Subaru Natsuki |" But... I'd appreciate it if you
could deliver a message. "
 Reinhard van Astrea | I'd be glad to, of course. 
 Reinhard van Astrea | To whom? And what? 
 Subaru Natsuki | Well, I don't know her name, but... 
 Subaru Natsuki |" Have you seen a girl with white
robes and silver hair nearby? "
 Reinhard van Astrea | White robes and silver hair? 
 Subaru Natsuki | She's also extremely gorgeous! 
 Reinhard van Astrea | No, I haven't. 
 Subaru Natsuki | Then, if you do see her, 
 Subaru Natsuki |" tell her not to go near the loot
house, no matter what. "
 Subaru Natsuki |" I'll find what she's looking for
and bring it to her myself. "
 Reinhard van Astrea |" Very well. If I see her,
I shall relay your message. "
 Subaru Natsuki | Thanks. 
 Subaru Natsuki | I'll repay you one day! 
 Reinhard van Astrea | All right. 
 Reinhard van Astrea | Take care. 
 EXTRA | Felt's den? 
 EXTRA | Yeah, just go two streets down that way. 
 Subaru Natsuki | Thanks, I appreciate it, bro. 
 EXTRA | Don't mention it, bro. Live strong. 
 Subaru Natsuki | The question is whether Felt will return there... 
 Subaru Natsuki |" I'd rather catch her before she
goes to the loot house, "
 Subaru Natsuki | and trade her the cell phone for the insignia— 
 Subaru Natsuki | Whoa! 
 Elsa Granhiert | Oh, dear! 
 Elsa Granhiert | I'm sorry. Are you all right? 
 Subaru Natsuki | Yeah, I'm fine. 
 Subaru Natsuki |" I don't look it, but toughness
is one thing I... have... "
 Elsa Granhiert | What's wrong? 
 Elsa Granhiert |" You don't have to be so scared.
I won't do anything to you. "
 Subaru Natsuki | I... I'm not scared... 
 Subaru Natsuki | What gave you that idea? 
 Elsa Granhiert | Your scent. 
 Elsa Granhiert | When people are scared, I can smell their fear. 
 Elsa Granhiert | Right now, you're frightened. 
 Elsa Granhiert | You're also angry, aren't you? 
 Elsa Granhiert | At me. 
 Elsa Granhiert | It's fine. 
 Elsa Granhiert |" I'm a little curious, but this isn't
the time to start a commotion. "
 Subaru Natsuki | That's not a very nice thing to say... 
 Subaru Natsuki |" If you're too scary,
that beauty will go to waste— "
 Elsa Granhiert | Oh, very good. 
 Elsa Granhiert |" Conceal your hostility,
and you'll be even better. "
 Elsa Granhiert | Well, I'll be going now. 
 Elsa Granhiert | Something tells me we'll meet again. 
 Subaru Natsuki | Someone actually lives here? 
 Subaru Natsuki |" Elsa hasn't already been here
and trashed it, has she? "
 Subaru Natsuki | I-It's fine, I'm sure... 
 Subaru Natsuki | I don't smell blood. 
 Subaru Natsuki | But it does smell like garbage. 
 Felt |" What do you think you're doing,
peeking into someone's house? "
 Felt | Sorry, but there's nothing worth stealing in there. 
 Felt | Beat it! 
 Subaru Natsuki | No, wait! That's not what I was doing... 
 Felt | Shut up! Don't argue! 
 Subaru Natsuki | Whoa, stop... 
 Subaru Natsuki | Calm down! This is no time to fight! 
 Subaru Natsuki | Before it gets dark— 
 Felt | Before it gets dark, you'd better be gone. 
 Subaru Natsuki | I told you, you've got it all wrong... 
 Felt | You don't give up, do you? 
 Felt | I told you to get out of here! 
 Subaru Natsuki | Just listen to me! 
 Subaru Natsuki | P-Please! Just hear me out, Felt! 
 Subaru Natsuki | I came to see you on important business! 
 Felt | How do you know my name? 
 Felt | You want me to steal something for you? 
 Felt | You should have said that first! 
 Subaru Natsuki | You're the one who attacked me right away. 
 Subaru Natsuki | You know, this is a greedy business you're running! 
 Subaru Natsuki | Do you pride yourself on sticky fingers? 
 Felt | It's all a matter of how to stay alive. 
 Felt |" If it weren't this, I'd have no
choice but to sell my body. "
 Felt | So, what's your business with me? 
 Felt | Spit it out. 
 Subaru Natsuki | There's one thing I want. 
 Subaru Natsuki | Here and now, I want to buy the insignia you stole! 
 Felt | You aren't associated with my client. 
 Felt | Are you a business rival? 
 Subaru Natsuki |" Call her a rival, or call her the
one who killed my parents... "
 Subaru Natsuki | Or even the one who killed me! 
 Felt | You make no sense. 
 Felt |" Well, I'm only interested in selling
to whoever pays most. "
 Felt |" If you've got an offer that might
be profitable, I'll listen. "
 Subaru Natsuki | Very shrewd... 
 Subaru Natsuki |" I have something worth more
than twenty holy coins. "
 Subaru Natsuki | I want to buy your insignia with it. 
 Subaru Natsuki | It's what everyone wants these days, a metia. 
 Subaru Natsuki | That is the power of a metia! 
 Subaru Natsuki |" It's a one-of-a-kind item that can capture
and stop a moment in time. "
 Subaru Natsuki | So, how about it? 
 Felt | You don't seem to be lying. 
 Felt |" But that's supposed to be me?
I'm way prettier. "
 Subaru Natsuki |" If you look this good without makeup,
you're doing fine... "
 Subaru Natsuki | Don't complain. 
 Felt | Well, it is unusual. I'll give you that. 
 Felt | But twenty holy coins? Not likely. 
 Felt | I'm not so stupid as to believe, without question, 
 Felt | everything a prospective buyer says. 
 Subaru Natsuki | Well, of course not. 
 Felt | At the far edge of the slums is a loot house. 
 Felt |" The fair thing is to have the codger who
lives there, Old Man Rom, appraise it. "
 Subaru Natsuki | So it still comes to that... 
 Subaru Natsuki | Okay, got it. Let's go. 
 Subaru Natsuki | Right now... Let's move. 
 Subaru Natsuki | On the double! 
 Subaru Natsuki |" We'll have him take a look,
and get right out of there! "
 Felt | Hey, hey! 
 Felt | What's your problem? 
 Felt | Why are you in such a hurry? 
 Felt | You're soaked with sweat. 
 Felt | Live strong. 
 Subaru Natsuki | Everyone in the slums says that. 
 Subaru Natsuki | Is it some kind of slogan? 
 Felt | Don't lump me in with those guys! 
 Felt | They're all talk. They aren't strong at all. 
 Felt |" They're just a bunch of
stingy losers at life. "
 Subaru Natsuki | That's a bit harsh... 
 Felt | I'm not like the people here. 
 Felt |" I have no intention of living out
my life in these back alleys! "
 Subaru Natsuki |" And you think twenty holy coins will
make your dream come true? "
 Felt |" It's true that it'd be a
huge leap toward my goal. "
 Felt |" Even if I were alone, it isn't as
if I couldn't get by with effort. "
 Subaru Natsuki | If you were alone? 
 Felt | Never mind... 
 Felt | What are you smirking about? 
 Felt | You really piss me off! 
 Subaru Natsuki | Don't worry about it. 
 Felt | H-Hey, what're you doing? Stop! 
 Felt | Hey! 
 Subaru Natsuki | Just gotta make it work, huh? 
 Felt |" I said, ""Stop!"" "
 Subaru Natsuki | And only I can do that. 
 Felt | Don't get all sentimental and babble nonsense! 
 Felt | I'll bite you! 
 Subaru Natsuki | It isn't only for her. 
 Subaru Natsuki | I'll change the fate that's waiting for me. 
 Subaru Natsuki | And to do that, I'll... 
 Felt | I told you to cut it out! 
 Rom | So this is a metia... 
 Rom | Even I've never seen one before. 
 Subaru Natsuki | It's fairly delicate, so handle it with care. 
 Subaru Natsuki |" Think along the lines of, ""If you
break it, you have to die,"" "
 Subaru Natsuki | like no do-overs. 
 Rom | Yeah, I'm definitely impressed. 
 Rom | If I were to sell this, I'd take no less than fifteen... no, twenty holy coins. 
 Rom | It's worth at least that. 
 Subaru Natsuki | All right! Negotiations complete! 
 Subaru Natsuki |" Now, if we're done talking, let's go for
drinks to celebrate a completed sale! "
 Felt | Hold it! 
 Felt | Why are you in such a hurry? 
 Subaru Natsuki | Life doesn't last forever. 
 Subaru Natsuki | Make every second count. Don't waste any— 
 Felt | Yeah, yeah! 
 Felt | I don't care about all that. 
 Felt | Why do you even want the insignia, anyway? 
 Felt | This insignia is worth a lot more than it looks. 
 Felt | That's why everyone wants it. 
 Felt |" In other words, this would sell
for more than a metia— "
 Subaru Natsuki | Hang on, Felt! That's a dangerous way to think! 
 Subaru Natsuki | He appraised it at over twenty holy coins. 
 Subaru Natsuki | Just sell it for that! Don't ask for more! 
 Subaru Natsuki |" El— The woman who asked you for it
can't go higher than twenty, either. "
 Subaru Natsuki | She won't pay more than that! 
 Felt | How do you know that? 
 Felt | You just admitted that you're with them. 
 Subaru Natsuki | I don't have time... Please, Felt! 
 Felt | Begging won't help. 
 Felt | I acknowledge you as a negotiating party. 
 Felt |" But not hearing what my client
says wouldn't be fair. "
 Subaru Natsuki | The reason I want that insignia 
 Subaru Natsuki | is so I can return it to its owner. 
 Felt | Huh? 
 Subaru Natsuki | I want to return it to its owner! 
 Subaru Natsuki | That's why I want the insignia! 
 Subaru Natsuki | That's all! So please! 
 Rom | Felt, it doesn't look to me like the boy's lying. 
 Felt | Don't get taken in by him. 
 Felt | He's obviously joking around. 
 Felt | Return it to the owner? Ridiculous! 
 Felt | If you're gonna lie, make it believable! 
 Felt | I won't be fooled! 
 Subaru Natsuki | Felt... 
 Rom | Who's that? 
 Felt | It might be for me. 
 Felt | It's a little early, though. 
 Subaru Natsuki | Don't open it! 
 Subaru Natsuki | W-We'll be killed! 
 Emilia | Kill you? I wouldn't do something so terrifying. 
 EXTRA | Reunion with the Witch 
 Emilia | I'm glad you're here. 
 Emilia | This time, you won't get away. 
 Subaru Natsuki | Why is she here? It's still light out. 
 Subaru Natsuki |" Wait, if she hadn't been with me,
would she have arrived this early? "
 Felt | You never quit, do you? 
 Felt | I'm telling you, just give up already! 
 Emilia | Sorry, but this is something I cannot give up on. 
 Emilia | If you do as I say, I won't hurt you. 
 Emilia | I have only one demand. Return my insignia. 
 Emilia | It's very important to me. 
 Rom |" If she were just another magic
user, I wouldn't back down, "
 Rom | but this one's trouble... 
 Felt | What's with you, Old Man Rom? 
 Felt | Admitting defeat before we even fight?! 
 Rom | Young lady, you're an elf, ain't ya? 
 Emilia | Not exactly. 
 Emilia | I'm only a half-elf. 
 Felt | A half-elf? 
 Felt | And with silver hair... Wait, are you... 
 Emilia |" It's an accidental resemblance!
Really, it's bothersome to me. "
 Felt | You set me up, didn't you? 
 Subaru Natsuki | Huh? No, I didn't do anything... 
 Felt |" After you said you'd return it to its owner,
I thought you were suspicious! "
 Emilia | What do you mean? You two aren't working together? 
 Subaru Natsuki |" Her nature never changes, no matter how
many times I start over in this world. "
 Felt | Hey! What are you laughing about?! 
 Subaru Natsuki | Come on, isn't that enough? Return her insignia. 
 Subaru Natsuki | And, Sat— you, hurry and get out of here. 
 Subaru Natsuki | Try not to let anyone steal it again. 
 Emilia | Why are you suddenly being so nice? 
 Emilia | I don't understand at all. 
 Felt | I don't understand you, either! 
 Felt | What's up with you? 
 Subaru Natsuki | Puck! Shield her! 
 Puck | That was a bit closer than I expected. 
 Puck | You saved us! 
 Subaru Natsuki | Nice one, Puck! 
 Subaru Natsuki |" Thank goodness it was before five,
while you're still on duty. "
 Subaru Natsuki | Thanks! 
 Elsa Granhiert | A spirit... That is a spirit, yes? 
 Elsa Granhiert | How wonderful. 
 Elsa Granhiert | I have never dissected a spirit's stomach before. 
 Felt | Hey, what do you mean by that? 
 Elsa Granhiert |" We can hardly negotiate, if the
item's original owner is here. "
 Elsa Granhiert | So I have changed my plans. 
 Elsa Granhiert | I shall slaughter everyone here. 
 Elsa Granhiert | You failed to see your job through to the end. 
 Elsa Granhiert | You talk a good game, but you do terrible work. 
 Elsa Granhiert | You really are just another slum dweller. 
 Subaru Natsuki | You bitch... 
 Subaru Natsuki | Cut the crap! 
 Subaru Natsuki | Don't get your kicks from picking on a little kid! 
 Subaru Natsuki | You guts-loving sadist! 
 Subaru Natsuki | Felt is doing her best to live strong... 
 Subaru Natsuki |" Just because your plan was thrown off,
you think it's over and flip tables? "
 Subaru Natsuki | Are you a little kid?! 
 Subaru Natsuki | You should value life more! 
 Subaru Natsuki |" Do you know how much having
your belly cut open hurts? "
 Subaru Natsuki | Well, I do! 
 Elsa Granhiert | What are you talking about? 
 Subaru Natsuki |" I'm in the process of letting the justice
and chivalry I never knew I had "
 Subaru Natsuki | denounce all the world's unfairness! 
 Subaru Natsuki |" And what I consider ""unfair"" is you,
this situation, and... "
 Subaru Natsuki | Stay tuned, folks. 
 Subaru Natsuki | There! 
 Subaru Natsuki | All done buying time... 
 Subaru Natsuki | Get her, Puck! 
 Puck |" A brilliant display of awkwardness, which I
hope survives through the ages. "
 Puck | I'd better live up to your expectations! 
 Puck | We haven't introduced ourselves, have we? 
 Puck | My name's Puck. 
 Puck | Remember my name 
 Puck | after you die! 
 Rom | Did they get 'er?! 
 Subaru Natsuki | Don't trigger that flag, old man! 
 Elsa Granhiert | One should always be prepared. 
 Emilia | Don't underestimate a user of the spiritual arts. 
 Puck | For a girl, you're well accustomed to battle. 
 Elsa Granhiert |" My, it's been a while since I was
regarded as a simple girl. "
 Puck |" Well, from my perspective, all opponents
are basically babies. "
 Puck | Still, you're so strong, I almost pity you. 
 Elsa Granhiert | I'm deeply touched to be praised by a spirit. 
 Subaru Natsuki |" If this turns into a battle of attrition,
we should have a chance. "
 Rom |" No, fer a spirit, the real battle is how
long they can stay corporeal. "
 Subaru Natsuki | That's right, it must be almost five... 
 Elsa Granhiert |" Oh, and just when we were having
such fun. What a bore. "
